client_id,client_name,filing_status,engagement_status,client_since
C-1001,"Mortensen, Gustavo",married filing jointly,Active,2019
C-1002,"Thornbury, Nadia",single,Active,2009
C-1003,"Quintanilla, Marisol",married filing jointly,Active,2021
C-1004,"Peraza, Neville",MFJ ,Active,2019
C-1005,"Adeyemi, Terrence",MFJ ,Active,2014
C-1006,"Okonkwo, Horace",Married Filing Jointly,Active,2017
C-1007,"Yeboah, Simone",married filing jointly,Active,2017
C-1008,"Castellanos, Marcus",Married Filing Jointly,Active,2010
C-1009,"Petrosyan, Noelle",Married Filing Separately,Active,2015
C-1010,"Rasmussen, Kwame",married filing jointly,Active,2019
C-1011,"Osei, Sylvia",MFJ ,Active,2012
C-1012,"Onyeka, Perpetua",Single,Active,2011
C-1013,"Duffield, Camila",MFJ,Active,2015
C-1014,"Whitmore, Greta",HOH,Active,2011
C-1015,"Sandoval, Reginald",HOH,Active,2014
C-1016,"Delacroix, Adaeze",S,Terminated,2022
C-1017,"Vasquez, Sunita",single,Active,2013
C-1018,"Halvorsen, Imani",MFJ,Active,2019
C-1019,"Wexler, Bernard",S,Active,2011
C-1020,"Marchetti, Odalys",MFJ ,Active,2010
C-1021,"Dimitrov, Kiyoshi",MFJ,Active,2010
C-1022,"Achebe, Yvonne",Single,Active,2009
C-1023,"Ramaswamy, Ingrid",Married Filing Jointly,Active,2009
C-1024,"Novotny, Anouk",MFJ,Active,2022
C-1025,"Escalante, Rosalind",MFJ,Active,2012
C-1026,"Culpepper, Bianca",Head of Household,Active,2016
C-1027,"Silvestri, Dale",MFJ ,Active,2022
C-1028,"Kowalczyk, Renata",Married Filing Jointly,Active,2010
C-1029,"Nakamura, Amara",Married Filing Jointly,Active,2011
C-1030,"Lindqvist, Franklin",S,Active,2009
C-1031,"Nascimento, Roland",Married Filing Jointly,Active,2013
C-1032,"Aliyev, Emmett",single,Active,2011
C-1033,"Fairbanks, Hollis",Single,Active,2025
C-1034,"Hollingsworth, Otis",Married Filing Jointly,Active,2015
C-1035,"Cabrera, Curtis",Single,Active,2018
C-1036,"Strand, Barrett",MFJ,Active,2013
C-1037,"Ferreira, Lorraine",S,Active,2023
C-1038,"Gallardo, Delphine",MFJ ,Active,2022
C-1039,"Bouchard, Beatriz",HOH,Active,2012
C-1040,"Trumbull, Priya",married filing jointly,Active - estate,2009
C-1041,"Iyengar, Rafael",Single,Active,2009
C-1042,"Mwangi, Malik",married filing jointly,Active,2016
C-1043,"Ashworth, Desmond",Married Filing Jointly,Active,2018
C-1044,"Blackwood, Thandiwe",married filing jointly,Active,2019
C-1045,"Bhattacharya, Lyle",HOH,Active,2014
C-1046,"Brennan, Alonzo",Married Filing Jointly,Active,2009
C-1047,"Vandenberg, Fiona",MFJ ,Active,2022
