client_id,client_name,filing_status_normalized,engagement_status,prior_year_agi,prior_year_total_tax,safe_harbor_pct_applied,projected_total_tax,prong_90pct_current,prong_prior_year,required_annual_payment,governing_prong,expected_annual_withholding,ytd_withholding,has_withholding_lever,prior_overpayment_applied_forward,q1_required,q1_underpaid,q1_penalty,q2_required,q2_underpaid,q2_penalty,q3_required,q3_underpaid,q3_penalty,q4_required,q4_underpaid,q4_penalty,total_underpayment,penalty_accrued_as_of_data_date,projected_penalty_full_year,remedy,flags
C-1001,"Mortensen, Gustavo",MFJ,Active,102017.81,20257.34,1.0,17590.8,15831.72,20257.34,15831.72,90% current,0,0,no,0.0,3957.93,0.0,0.76,3957.93,0.0,0.62,3957.93,0.0,0.0,3957.93,0.0,0.0,0.0,1.38,1.38,none needed,
C-1002,"Thornbury, Nadia",Single,Active,334310.14,77596.23,1.1,82619.37,74357.433,85355.853,74357.43,90% current,0,0,no,0.0,18589.36,0.0,0.0,18589.36,0.0,0.0,18589.36,0.0,1.31,18589.36,913.56,15.77,913.56,1.31,17.07,Q4 estimate only; Q1-Q3 exposure not curable,REVIEW_projection_is_stale
C-1003,"Quintanilla, Marisol",MFJ,Active,220847.18,41482.11,1.1,42996.78,38697.102,45630.321,38697.1,90% current,25304.09,19081.77,yes,0.0,9674.28,0.0,0.0,9674.28,0.0,0.0,9674.28,0.0,0.0,9674.28,0.0,0.0,0.0,0.0,0.0,none needed,
C-1004,"Peraza, Neville",MFJ,Active,160372.78,31582.76,1.1,34413.48,30972.132000000005,34741.036,30972.13,90% current,34741.04,25897.86,yes,0.0,7743.03,0.0,0.0,7743.03,0.0,0.0,7743.03,0.0,0.0,7743.03,0.0,0.0,0.0,0.0,0.0,none needed,NO_PENALTY_under_1000_de_minimis
C-1005,"Adeyemi, Terrence",MFJ,Active,274213.47,70212.31,1.1,82383.15,74144.83499999999,77233.541,74144.83,90% current,86604.41,65128.84,yes,0.0,18536.21,0.0,0.0,18536.21,0.0,0.0,18536.21,0.0,0.0,18536.21,0.0,0.0,0.0,0.0,0.0,none needed,NO_PENALTY_under_1000_de_minimis
C-1006,"Okonkwo, Horace",MFJ,Active,152635.61,29941.27,1.1,51746.87,46572.183000000005,32935.397000000004,32935.4,prior year,18607.75,16083.16,yes,0.0,8233.85,3581.91,250.73,8233.85,3581.91,208.14,8233.85,3581.91,145.63,8233.85,3581.91,61.82,14327.65,200.59,666.33,increase withholding before 12/31 (retroactive across installments),
C-1007,"Yeboah, Simone",MFJ,Active,189563.1,43117.46,1.1,,,47429.206000000006,47429.21,prior year,6095.95,4635.85,yes,0.0,11857.3,0.0,0.0,11857.3,0.0,0.0,11857.3,9448.32,384.15,11857.3,10333.31,178.36,19781.64,28.99,562.5,increase withholding before 12/31 (retroactive across installments),NO_CURRENT_PROJECTION_90pct_prong_not_computable
C-1008,"Castellanos, Marcus",MFJ,Active,254472.72,58322.52,1.1,52603.51,47343.159,64154.772000000004,47343.16,90% current,69872.12,52549.89,yes,0.0,11835.79,0.0,0.0,11835.79,0.0,0.0,11835.79,0.0,0.0,11835.79,0.0,0.0,0.0,0.0,0.0,none needed,NO_PENALTY_under_1000_de_minimis
C-1009,"Petrosyan, Noelle",MFS,Active,88400.0,17300.0,1.1,33800.0,30420.0,19030.0,19030.0,prior year,3500.0,2600.0,yes,0.0,4757.5,0.0,0.0,4757.5,0.0,67.45,4757.5,3847.5,156.43,4757.5,3882.5,67.01,7730.0,79.26,290.9,increase withholding before 12/31 (retroactive across installments),
C-1010,"Rasmussen, Kwame",MFJ,Active,229519.83,49623.17,1.1,55100.0,49590.0,54585.487,49590.0,90% current,20800.0,15600.0,yes,12216.19,12397.5,0.0,0.0,12397.5,0.0,0.0,12397.5,1376.31,55.96,12397.5,7197.5,124.23,8573.81,4.22,180.19,increase withholding before 12/31 (retroactive across installments),
